Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
11,2019-01-01 00:06:53,377234009633447,fraud_Kerluke-Abshire,11,7.77,Theresa,Blackwell,0,43576 Kristina Islands,Shenandoah Junction,WV,25442,39.3716,-77.8229,1925,Systems developer,1966-02-14,306219,1325376413,40.103866,-78.624459,0
12,2019-01-01 00:06:56,180042946491150,fraud_Lockman Ltd,4,71.22,Charles,Robles,1,3337 Lisa Divide,Saint Petersburg,FL,33710,27.7898,-82.7243,341043,"Engineer, land",1989-02-28,981946,1325376416,27.630593,-82.308891,0
13,2019-01-01 00:07:27,5559857416065248,fraud_Kiehn Inc,4,96.29,Jack,Hill,1,5916 Susan Bridge Apt. 939,Grenada,CA,96038,41.6125,-122.5258,589,Systems analyst,1945-12-21,330177,1325376447,41.65752,-122.230347,0
14,2019-01-01 00:09:03,3514865930894695,fraud_Beier-Hyatt,12,7.77,Christopher,Castaneda,1,1632 Cohen Drive Suite 639,High Rolls Mountain Park,NM,88325,32.9396,-105.8189,899,Naval architect,1967-08-30,700762,1325376543,32.863258,-106.520205,0
15,2019-01-01 00:09:20,6011999606625827,fraud_Schmidt and Sons,11,3.26,Ronald,Carson,1,870 Rocha Drive,Harrington Park,NJ,7640,40.9918,-73.98,4664,"Radiographer, diagnostic",1965-06-30,945968,1325376560,41.831174,-74.335559,0
16,2019-01-01 00:10:49,6011860238257910,fraud_Lebsack and Sons,8,327.0,Lisa,Mendez,0,44259 Beth Station Suite 215,Lahoma,OK,73754,36.385,-98.0727,1078,"Programme researcher, broadcasting/film/video",1952-07-06,775490,1325376649,36.384092,-99.048472,0
17,2019-01-01 00:10:58,3565423334076143,fraud_Mayert Group,12,341.67,Nathan,Thomas,1,4923 Campbell Pines Suite 717,Carlisle,IN,47838,38.9763,-87.3667,4081,Energy engineer,1938-03-15,1221760,1325376658,38.674491,-88.305767,0
18,2019-01-01 00:11:14,2348245054386329,"fraud_Konopelski, Schneider and Hartmann",1,63.07,Justin,Gay,1,268 Hayes Rue Suite 811,Harborcreek,PA,16421,42.1767,-79.9416,2518,Event organiser,1946-02-02,673264,1325376674,41.430274,-79.492553,0
19,2019-01-01 00:12:34,4956828990005111019,"fraud_Schultz, Simonis and Little",4,44.71,Kenneth,Robinson,1,269 Sanchez Rapids,Elizabeth,NJ,7208,40.6747,-74.2239,124967,Operational researcher,1980-12-21,50301,1325376754,40.079588,-74.84808699999999,0
20,2019-01-01 00:13:08,4469777115158234880,fraud_Bauch-Raynor,4,57.34,Gregory,Graham,1,4005 Dana Glens,Methuen,MA,1844,42.728,-71.181,47249,Market researcher,1980-11-22,99226,1325376788,42.26876,-71.217297,0
21,2019-01-01 00:14:37,2305336922781618,fraud_Harris Inc,2,50.79,Jeffrey,Rice,1,21447 Powell Circle,Moulton,IA,52572,40.6866,-92.6833,1132,Probation officer,1961-02-14,941383,1325376877,40.18893,-91.955115,0
22,2019-01-01 00:17:16,180048185037117,fraud_Kling-Grant,3,46.28,Mary,Wall,0,2481 Mills Lock,Plainfield,NJ,7060,40.6152,-74.415,71485,Leisure centre manager,1974-07-19,131120,1325377036,40.021888,-74.228188,0
23,2019-01-01 00:17:40,630441765090,fraud_Pacocha-Bauch,12,9.55,Susan,Washington,0,759 Erin Mount Suite 956,May,TX,76857,31.9571,-98.9656,1791,Corporate investment banker,1965-07-26,996416,1325377060,31.62635,-98.610225,0
24,2019-01-01 00:18:06,4428780983793657331,fraud_Lesch Ltd,12,22.95,Richard,Waters,1,7683 Natasha Way Apt. 945,Waukesha,WI,53186,42.9993,-88.2196,95015,"Therapist, occupational",1946-01-02,1065111,1325377086,43.375041,-89.055065,0
25,2019-01-01 00:18:07,343464013864032,fraud_Kunde-Sanford,8,2.55,Jodi,Foster,0,551 Zachary Freeway,Bailey,NC,27807,35.8072,-78.0892,6629,Call centre manager,1962-08-13,870823,1325377087,36.74987,-78.67787,0
26,2019-01-01 00:20:15,374930071163758,fraud_Deckow-O'Conner,4,64.09,Daniel,Escobar,1,61390 Hayes Port,Romulus,MI,48174,42.2203,-83.3583,31515,Police officer,1971-11-05,563109,1325377215,42.360426,-83.552316,0
27,2019-01-01 00:21:32,4334230547694630,fraud_Bruen-Yost,9,6.85,Scott,Martin,1,7483 Navarro Flats,Freedom,WY,83120,43.0172,-111.0292,471,"Education officer, museum",1967-08-02,1234901,1325377292,43.753735,-111.454923,0
28,2019-01-01 00:22:06,4225990116481262579,fraud_Kunze Inc,4,90.22,Brian,Simpson,1,2711 Duran Pines,Honokaa,HI,96727,20.0827,-155.488,4878,Physiotherapist,1966-12-03,757145,1325377326,19.560013,-156.045889,0
29,2019-01-01 00:22:18,4260059589824237,"fraud_Nitzsche, Kessler and Wolff",12,4.02,Aaron,Rogers,1,969 Huerta Path Apt. 270,Valentine,NE,69201,42.8062,-100.6215,4005,Network engineer,1945-03-15,163594,1325377338,42.47559,-101.265846,0
30,2019-01-01 00:22:36,180094608895855,"fraud_Kihn, Abernathy and Douglas",11,3.66,Tammie,Harper,0,57887 Gutierrez Harbor,Westfir,OR,97492,43.7575,-122.481,597,Forensic psychologist,1961-05-19,683759,1325377356,44.278191,-121.815161,0
31,2019-01-01 00:22:39,4599735407877245080,"fraud_Heller, Gutmann and Zieme",4,82.8,Mary,Myers,0,39787 Pamela Fall Suite 639,Tiptonville,TN,38079,36.3846,-89.4649,5577,Geochemist,1964-12-30,1030012,1325377359,36.294205,-89.81128199999999,0
32,2019-01-01 00:22:44,630412733309,fraud_Torphy-Goyette,12,66.21,Heather,Stanton,0,445 Jerry Lights Apt. 081,Republic,MI,49879,46.368,-87.9938,1038,Armed forces training and education officer,1964-04-22,166837,1325377364,46.412038,-88.516663,0
33,2019-01-01 00:23:41,2712209726293386,fraud_Balistreri-Nader,9,25.58,Jenna,Brooks,0,50872 Alex Plain Suite 088,Baton Rouge,LA,70808,30.4066,-91.1468,378909,"Designer, furniture",1977-02-22,113120,1325377421,29.737426,-90.853194,0
34,2019-01-01 00:23:58,374125201044065,"fraud_Bahringer, Schoen and Corkery",12,9.03,Christopher,Gilbert,1,20937 Reed Lakes Apt. 271,Washington,DC,20012,38.9757,-77.0282,601723,"Optician, dispensing",1970-07-20,1008848,1325377438,38.880898,-76.44111600000001,0
35,2019-01-01 00:25:46,349612764943496,fraud_Hudson-Ratke,4,99.0,Xavier,Beltran,1,61107 Edwards Dam Apt. 463,Big Creek,KY,40914,37.1046,-83.5706,467,"Psychologist, forensic",1984-06-04,638972,1325377546,36.823545,-83.90104000000001,0
36,2019-01-01 00:26:22,3598215285024754,fraud_Heidenreich PLC,4,207.36,Ashley,Lopez,0,9333 Valentine Point,Bellmore,NY,11710,40.6729,-73.5365,34496,"Librarian, public",1970-10-21,1227376,1325377582,40.202538,-73.859212,0
37,2019-01-01 00:27:45,213141712584544,fraud_Halvorson Group,9,181.35,Margaret,Curtis,0,742 Oneill Shore,Florence,MS,39073,32.153,-90.1217,19685,Fine artist,1984-12-24,626442,1325377665,31.939812,-90.726209,0
38,2019-01-01 00:27:56,30561214688470,fraud_Harber Inc,2,82.22,Gina,Morrison,0,41851 Victor Drives Suite 219,Allentown,PA,18103,40.5891,-75.4645,166081,"Scientist, research (maths)",1998-10-01,495004,1325377676,40.586238,-75.802249,0
39,2019-01-01 00:29:11,4789911625179723,"fraud_Mosciski, Gislason and Mertz",4,221.81,Dorothy,Zuniga,0,77321 Ford Via,Moriches,NY,11955,40.8095,-72.8229,3285,"Research officer, trade union",1988-04-27,852078,1325377751,40.011959,-72.594808,0
40,2019-01-01 00:30:49,676372984911,"fraud_Christiansen, Goyette and Schamberger",2,53.6,Vicki,Mendoza,0,3645 Atkins Island Apt. 238,Esbon,KS,66941,39.7562,-98.4462,242,Tourism officer,1987-07-18,1222582,1325377849,40.332519,-99.062962,0
41,2019-01-01 00:31:01,30011465039817,fraud_Howe Ltd,9,54.02,Lisa,Garcia,0,213 Gill Expressway,Chatham,NY,12037,42.3496,-73.5873,4015,Human resources officer,1971-10-14,714555,1325377861,42.041783,-73.076424,0
42,2019-01-01 00:31:51,4642255475285942,fraud_Ledner-Pfannerstill,2,102.13,Sabrina,Johnson,0,320 Nicholson Orchard,Thompson,UT,84540,38.9999,-109.615,46,"Surveyor, minerals",1987-04-23,360332,1325377911,39.807313,-109.348294,0
43,2019-01-01 00:32:15,30074693890476,fraud_Lockman Ltd,4,212.75,Kelsey,Richards,0,889 Sarah Station Suite 624,Holcomb,KS,67851,37.9931,-100.9893,2691,Arboriculturist,1993-08-16,1103571,1325377935,38.862183,-101.234087,0
44,2019-01-01 00:32:15,180067784565096,fraud_Koepp-Witting,4,130.4,Mary,Juarez,0,35440 Ryan Islands,North Prairie,WI,53153,42.9385,-88.395,2328,Applications developer,1942-01-06,104489,1325377935,42.236269,-88.397336,0
45,2019-01-01 00:32:47,213126662687660,fraud_Doyle Ltd,4,91.16,Christopher,Luna,1,242 Brian Mountain,Laredo,TX,78040,27.5155,-99.4986,248858,Video editor,1971-01-28,528469,1325377967,27.588953000000004,-99.816911,0
46,2019-01-01 00:33:51,2266735643685262,"fraud_Schaefer, Maggio and Daugherty",2,55.78,Carlos,Chung,1,8957 Russell Key,Grant,AL,35747,34.4959,-86.259,5901,Curator,1972-07-25,289464,1325378031,35.255978000000006,-86.041872,0
47,2019-01-01 00:34:10,3553629419254918,fraud_Stracke-Lemke,4,83.07,Sharon,Johnson,0,7202 Jeffrey Mills,Conway,WA,98238,48.34,-122.3456,85,"Research officer, political party",1984-09-01,787664,1325378050,48.682111,-122.719904,0
48,2019-01-01 00:36:12,3511058278399773,"fraud_Mosciski, Ziemann and Farrell",11,4.38,Briana,Santos,0,702 Tabitha Drive,New Goshen,IN,47863,39.5803,-87.4616,205,"Engineer, mining",1960-01-06,1225280,1325378172,39.681736,-88.323862,0
49,2019-01-01 00:36:58,4110266553600176127,fraud_Cartwright-Harris,4,130.89,Sandra,Schwartz,0,3789 Mark Walks,Sunflower,MS,38778,33.5567,-90.5451,1686,"Education officer, community",1986-11-06,1135794,1325378218,33.595647,-90.234118,0
50,2019-01-01 00:37:18,4265776278887457,fraud_Pacocha-O'Reilly,4,103.0,Christine,Best,0,68248 Deanna Land,Enola,AR,72047,35.2087,-92.2123,969,"Physicist, medical",1954-01-05,205458,1325378238,35.034285,-92.34301,0
51,2019-01-01 00:39:22,3583793405872580,fraud_Pfeffer LLC,3,50.82,Beth,Lambert,0,6447 Johnson Estates Apt. 986,Roosevelt,OK,73564,34.847,-98.9836,551,Amenity horticulturist,1970-09-27,509689,1325378362,34.852665,-98.90267,0
52,2019-01-01 00:39:37,213193596103206,fraud_Huels-Hahn,2,60.77,James,Hunt,1,7369 Gabriel Tunnel,Pointe Aux Pins,MI,49775,45.7549,-84.447,95,Electrical engineer,1994-02-09,167767,1325378377,45.323099,-85.11654300000001,0
53,2019-01-01 00:39:43,60495593109,fraud_Volkman PLC,1,122.86,Randall,Dillon,1,4440 George Mills Suite 591,Dallas,TX,75210,32.7699,-96.743,1263321,Television camera operator,1942-11-24,635060,1325378383,32.282224,-97.46183,0
54,2019-01-01 00:40:44,4725837176265195730,fraud_Kiehn-Emmerich,4,212.45,Elizabeth,Mckee,0,358 Pruitt Square,Jay,FL,32565,30.8985,-87.1332,5719,Higher education careers adviser,1994-11-05,693512,1325378444,31.414174,-87.138632,0
55,2019-01-01 00:40:48,30404291151692,fraud_Kemmer-Buckridge,9,7.33,Savannah,Lewis,0,537 Walker Freeway,North Tonawanda,NY,14120,43.0498,-78.851,45100,Ambulance person,1993-10-25,6992,1325378448,43.1763,-77.901777,0
56,2019-01-01 00:40:50,213178850083780,fraud_Cummerata-Jones,2,70.53,Shawn,King,1,31493 Garcia Summit,Athena,OR,97813,45.8289,-118.4971,1302,Dealer,1976-10-18,625788,1325378450,46.043252,-117.962133,0
57,2019-01-01 00:40:58,2356276337669917,"fraud_Goldner, Kovacek and Abbott",4,58.26,Benjamin,Harris,1,0881 Lori Pines,Chester,MD,21619,38.9583,-76.2842,5848,Paediatric nurse,1981-02-15,1100833,1325378458,39.240962,-76.71273199999999,0
58,2019-01-01 00:41:43,3568736585751727,fraud_Spinka-Welch,3,50.45,Thomas,Cross,1,7566 Thompson Creek Apt. 827,Elkhart,IA,50073,41.8114,-93.4855,1195,Trading standards officer,1974-03-13,115973,1325378503,41.776673,-93.350689,0
59,2019-01-01 00:41:45,4642255475285942,fraud_Huel-Langworth,8,177.57,Sabrina,Johnson,0,320 Nicholson Orchard,Thompson,UT,84540,38.9999,-109.615,46,"Surveyor, minerals",1987-04-23,22973,1325378505,38.419431,-109.380252,0
60,2019-01-01 00:42:26,4509142395811241,fraud_Macejkovic-Lesch,12,8.57,Margaret,Williams,0,165 Jerry Meadows Suite 460,Surrency,GA,31563,31.6489,-82.1982,1324,"Engineer, technical sales",1926-07-12,571812,1325378546,32.023302,-82.58345,0
61,2019-01-01 00:43:38,3547560454237873,fraud_Corwin-Collins,2,56.66,Jerry,Robinson,1,212 Mary Stream,Arcadia,MI,49613,44.5232,-86.2061,680,"Designer, jewellery",1966-12-21,102802,1325378618,44.00529,-86.25199,0
62,2019-01-01 00:44:20,4433091568498503,fraud_Morar Inc,3,75.34,Linda,Davis,0,493 Todd Views,Gaithersburg,MD,20882,39.2335,-77.1458,135332,Clinical biochemist,1936-03-28,1087882,1325378660,38.817293,-77.83346800000001,0
63,2019-01-01 00:44:43,2720433095629877,"fraud_Eichmann, Bogan and Rodriguez",2,62.54,Mark,Wood,1,854 Walker Dale Suite 488,Bowdoin,ME,4287,44.0575,-69.9656,3224,"Engineer, electronics",1997-08-22,236489,1325378683,43.585423,-70.449359,0
64,2019-01-01 00:45:13,4716561796955522,"fraud_Huel, Hammes and Witting",4,92.84,Lauren,Anderson,0,11014 Chad Lake Apt. 573,Heart Butte,MT,59448,48.2777,-112.8456,743,Water engineer,1972-05-04,771788,1325378713,49.080153,-113.53238,0
65,2019-01-01 00:46:18,3536918668124647,"fraud_Ferry, Lynch and Kautzer",8,2.76,Michelle,Juarez,0,44864 Melton Vista Suite 310,San Jose,CA,95148,37.3304,-121.7913,973849,Science writer,1955-06-12,571151,1325378778,37.548452000000005,-121.536454,0
66,2019-01-01 00:47:55,3525668150756629,fraud_Heathcote LLC,11,101.35,Christopher,Choi,1,04611 Sandra Spring Suite 059,Rumely,MI,49826,46.3481,-87.0436,137,Film/video editor,1990-08-13,1107906,1325378875,46.796891,-86.331091,0
67,2019-01-01 00:48:09,4707867759656333,fraud_Huel-Langworth,8,303.47,Susan,Shah,0,9016 Jordan Bypass Apt. 516,Cranks,KY,40820,36.7558,-83.1838,581,"Psychologist, counselling",1967-02-04,1041935,1325378889,36.394203000000005,-82.51428299999999,0
68,2019-01-01 00:49:25,4666314527820883145,"fraud_Little, Gutmann and Lynch",11,83.52,Guy,Thompson,1,5812 Ramos Oval Suite 598,Ravenna,NE,68869,41.0233,-98.9041,2202,"Solicitor, Scotland",1974-06-21,483724,1325378965,40.992141,-98.831582,0
69,2019-01-01 00:49:31,2248735346244816,fraud_Torphy-Goyette,12,9.97,Jacob,Weber,1,29156 Mark Park Apt. 108,Utica,KS,67584,38.6411,-100.138,269,Product/process development scientist,1962-11-11,175987,1325378971,38.075226,-99.138453,0
70,2019-01-01 00:50:53,4512828414983801773,fraud_Jaskolski-Dibbert,3,16.16,Monica,Cohen,0,864 Reynolds Plains,Uledi,PA,15484,39.8936,-79.7856,328,Tree surgeon,1983-07-25,411877,1325379053,39.222743,-78.839099,0
71,2019-01-01 00:52:57,3501509250702469,fraud_Hackett-Lueilwitz,4,59.56,Frank,Anderson,1,0611 Stafford Valley Suite 504,Naples,FL,34112,26.1184,-81.7361,276002,"Programme researcher, broadcasting/film/video",1979-01-02,1181119,1325379177,25.801181,-82.351291,0
72,2019-01-01 00:55:05,30273037698427,fraud_Cummings LLC,2,57.23,Andrew,Patterson,1,06959 Stephen Branch Suite 246,Thida,AR,72165,35.5762,-91.4539,111,Careers information officer,2000-06-13,21698,1325379305,36.144895,-92.188172,0
73,2019-01-01 00:56:12,3558881852140592,"fraud_Swaniawski, Lowe and Robel",12,317.14,Christopher,Holt,1,05597 Michael Spurs,Parks,AZ,86018,35.2563,-111.95,759,"Geologist, engineering",1957-03-28,323538,1325379372,35.268124,-112.682895,0
74,2019-01-01 00:56:44,30487648872433,"fraud_Osinski, Ledner and Leuschke",4,127.88,Stephanie,Crane,0,144 Martinez Curve,Central,IN,47110,38.097,-86.1723,350,Counsellor,1955-01-05,11198,1325379404,38.860981,-86.77339599999999,0
75,2019-01-01 00:56:59,571465035400,"fraud_Reichert, Huels and Hoppe",11,113.4,Louis,Fisher,1,45654 Hess Rest,Fort Washakie,WY,82514,43.0048,-108.8964,1645,Freight forwarder,1976-02-26,797326,1325379419,42.868965,-108.50335,0
76,2019-01-01 00:57:17,378006354724784,fraud_Ankunding LLC,11,94.53,Christopher,Matthews,1,433 John Heights Apt. 849,Etlan,VA,22719,38.5095,-78.2638,395,Senior tax professional/tax inspector,1982-01-07,1079581,1325379437,37.84676,-79.262334,0
77,2019-01-01 00:57:30,341283058448499,fraud_Pfeffer and Sons,12,1.82,Mario,Johns,1,62130 Miller Square Suite 785,Brinson,GA,39825,30.9788,-84.7373,1461,"Engineer, broadcasting (operations)",1935-09-08,272929,1325379450,31.973466,-84.244731,0
78,2019-01-01 00:58:02,4481131401752,"fraud_Greenholt, Jacobi and Gleason",2,75.77,Frank,Foster,1,37910 Ward Lights,Shrewsbury,MA,1545,42.2848,-71.7205,35299,English as a second language teacher,1975-04-30,92476,1325379482,42.889256,-71.88810699999999,0
79,2019-01-01 00:58:53,4687263141103,fraud_Kunze Inc,4,108.59,Sarah,Cross,0,273 Phillip Throughway,Bigelow,MN,56117,43.5336,-95.6515,399,Economist,1977-04-28,1008964,1325379533,44.51103,-95.934394,0
80,2019-01-01 00:59:25,5456776410929288,fraud_Harris Inc,2,48.68,Taylor,Khan,0,658 Diane Glen Apt. 677,North Washington,PA,16048,41.0472,-79.8089,139,Patent attorney,1954-05-25,522771,1325379565,40.237898,-79.89407299999999,0
81,2019-01-01 01:00:19,4981132848794,"fraud_Connelly, Reichert and Fritsch",2,72.35,Joseph,Spencer,1,7854 Stephanie Island Suite 788,Holloway,OH,43985,40.0113,-80.9701,128,Child psychotherapist,1946-04-03,1053030,1325379619,39.308098,-81.698525,0
82,2019-01-01 01:00:48,6011893664860915,fraud_Howe Ltd,9,218.71,Erin,Chavez,0,3379 Williams Common,Littleton,CO,80120,39.5994,-105.0044,320420,Water engineer,1975-07-31,339846,1325379648,39.335171,-104.102882,0
83,2019-01-01 01:01:48,6534628260579800,fraud_Torp-Labadie,2,52.59,Christine,Harris,0,29606 Martinez Views Suite 653,Hinesburg,VT,5461,44.3346,-73.098,4542,Claims inspector/assessor,1998-03-19,195084,1325379708,45.084808,-73.626071,0
84,2019-01-01 01:02:16,376028110684021,fraud_Wolf Inc,4,89.11,Aaron,Murray,1,624 Hale Springs Apt. 572,Meadville,MO,64659,39.7795,-93.3014,964,Tourist information centre manager,1974-12-23,145472,1325379736,40.773306,-92.821257,0
85,2019-01-01 01:02:53,571365235126,fraud_VonRueden Group,3,89.35,Barbara,Taylor,0,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,956928,1325379773,44.630758,-87.12389399999999,0
86,2019-01-01 01:04:48,3518758680062249,fraud_Vandervort-Funk,4,50.68,Antonio,Koch,1,8738 Richard Brooks,Moab,UT,84532,38.5677,-109.5271,9772,Location manager,1989-11-24,493943,1325379888,38.482541,-108.853856,0
87,2019-01-01 01:06:06,5456776410929288,fraud_Bernhard Inc,2,64.47,Taylor,Khan,0,658 Diane Glen Apt. 677,North Washington,PA,16048,41.0472,-79.8089,139,Patent attorney,1954-05-25,747388,1325379966,40.068764,-79.826882,0
88,2019-01-01 01:06:22,3577578023716568,"fraud_Morissette, Weber and Wiegand",3,63.58,Debbie,Hughes,0,0182 Owens Burgs Suite 480,Diamond,OH,44412,41.0935,-81.0425,2644,"Engineer, biomedical",1983-08-25,7779,1325379982,41.8136,-81.23076999999999,0
89,2019-01-01 01:08:31,213112402583773,fraud_Brekke and Sons,2,81.85,Ana,Howell,0,4664 Sanchez Common Suite 930,Bradley,SC,29819,34.0326,-82.2027,1523,Research scientist (physical sciences),1984-06-03,396123,1325380111,33.828472999999995,-81.642924,0
90,2019-01-01 01:09:22,3592325941359225,fraud_Mraz-Herzog,2,59.7,Ashley,Robinson,0,1007 Colton Forks,Hopewell,VA,23860,37.2876,-77.295,31970,Purchasing manager,1935-08-15,750544,1325380162,36.962777,-77.640054,0
91,2019-01-01 01:09:41,4683520018489354,fraud_Ledner-Pfannerstill,2,90.54,Charles,Carrillo,1,17547 Stephen Turnpike Apt. 846,Hawthorne,CA,90250,33.9143,-118.3493,93193,"Editor, magazine features",1995-04-19,209393,1325380181,32.990285,-117.836803,0
92,2019-01-01 01:09:57,3502088871723054,fraud_Padberg-Welch,4,50.57,Scott,Martin,1,31472 Cody Place Suite 740,Kensington,MD,20895,39.0298,-77.0793,19054,Operations geologist,1976-09-08,65644,1325380197,38.394608000000005,-76.437916,0
93,2019-01-01 01:09:57,180048185037117,"fraud_Rippin, Kub and Mann",8,3.79,Mary,Wall,0,2481 Mills Lock,Plainfield,NJ,7060,40.6152,-74.415,71485,Leisure centre manager,1974-07-19,629987,1325380197,40.813669,-75.283465,0
94,2019-01-01 01:10:16,6511349151405438,fraud_Kutch-Hegmann,3,54.54,Robert,Nguyen,1,74835 Garner Point,Ruth,NV,89319,39.3426,-114.8859,450,Interpreter,1946-08-24,229149,1325380216,38.69322,-115.87599,0
95,2019-01-01 01:11:02,4198470814557,fraud_Corwin-Gorczany,8,3.35,Christie,Williamson,0,519 Jerry Views,Avoca,IA,51521,41.4768,-95.3509,2036,Engineering geologist,1971-08-20,26794,1325380262,41.907592,-95.809232,0
96,2019-01-01 01:14:11,4423489490781412,fraud_Huels-Nolan,2,50.61,Christopher,Ortega,1,5045 Emily Wall,Princeton,IA,52768,41.6858,-90.3706,1426,Agricultural consultant,1957-03-06,848034,1325380451,41.027284,-89.416172,0
97,2019-01-01 01:14:11,3518234918950662,fraud_Jaskolski-Dibbert,3,50.74,Barbara,Lowe,0,67210 Lori Creek,Sherman,TX,75092,33.6372,-96.6184,46563,Systems developer,1970-09-11,707240,1325380451,34.266941,-96.709668,0
98,2019-01-01 01:14:55,6593250708747804,fraud_DuBuque LLC,4,186.73,Melissa,Meza,0,244 Abbott Parkway,Loxahatchee,FL,33470,26.7383,-80.27600000000001,26551,Paramedic,1977-01-04,586893,1325380495,27.610009,-79.49811,0
99,2019-01-01 01:15:01,6011492816282597,fraud_Kutch-Hegmann,3,39.95,Gary,Barnes,1,2970 Flores Brooks,Smackover,AR,71762,33.3398,-92.7442,2501,Financial adviser,1986-06-11,1238746,1325380501,33.651123,-91.902918,0
100,2019-01-01 01:16:52,6593250708747804,fraud_Brekke and Sons,2,55.18,Melissa,Meza,0,244 Abbott Parkway,Loxahatchee,FL,33470,26.7383,-80.27600000000001,26551,Paramedic,1977-01-04,305827,1325380612,27.346033,-80.475563,0
101,2019-01-01 01:17:44,4149238353975790,"fraud_Mosciski, Gislason and Mertz",4,92.99,Tanner,Carroll,1,494 Burke Ports,Cokeburg,PA,15324,40.1008,-80.0652,632,Dealer,1989-04-08,661480,1325380664,40.706082,-80.366274,0
102,2019-01-01 01:18:10,639046421587,fraud_Schmeler Inc,9,43.02,Dylan,Bonilla,1,2497 John Motorway Suite 922,Leetsdale,PA,15056,40.5662,-80.2099,1140,"Administrator, education",1986-06-20,1069665,1325380690,41.419964,-79.957263,0
103,2019-01-01 01:19:02,2235613922823698,"fraud_Schaefer, McGlynn and Bosco",2,51.33,Melissa,Mcclure,0,2027 Snyder Track,Manville,WY,82227,42.73,-104.7024,241,Educational psychologist,1980-12-16,854413,1325380742,42.508248,-105.34481,0
104,2019-01-01 01:19:13,5104807169438134,fraud_Williamson LLC,9,47.85,Regina,Johnston,0,641 Steven Mall Apt. 299,Westhampton Beach,NY,11978,40.8295,-72.6473,3255,Financial trader,1978-07-08,1122260,1325380753,40.712685,-72.124522,0
105,2019-01-01 01:20:50,180040027502291,fraud_Pouros-Conroy,12,9.23,Mary,Schmidt,0,022 Moore Island,New York City,NY,10162,40.7699,-73.9511,1577385,Audiological scientist,1957-12-29,956168,1325380850,41.395142,-74.887524,0
